Name	Hex	Red	Green	Blue	X	Y	Z	L*	a*	b*	Jz	az	bz
Midnight pumpkin	#3f0600	63	6	0	2.08	1.17	0.04	10.32	26.33	17.19	0.0333	0.0424	0.0424
Midnight gold	#2d2000	45	32	0	1.52	1.55	0	12.92	1.35	25.84	0.0333	-0.0	0.06
Midnight lime	#002f00	0	47	0	0.89	2.0	0.2	15.49	-30.35	23.82	0.0333	-0.0424	0.0424
Midnight mint	#003423	0	52	35	0.67	2.14	1.95	16.19	-42.29	3.18	0.0333	-0.06	-0.0
Midnight sky	#002b3d	0	43	61	1.09	1.74	4.73	14.06	-16.79	-18.48	0.0333	-0.0424	-0.0424
Midnight bilberry	#181546	24	21	70	1.75	1.19	5.92	10.45	18.08	-30.17	0.0333	0.0	-0.06
Midnight lilac	#35003a	53	0	58	2.17	0.94	4.03	8.49	36.17	-24.43	0.0333	0.0424	-0.0424
Midnight raspberry	#40001f	64	0	31	2.28	0.98	1.4	8.78	37.34	-4.08	0.0333	0.06	-0.0
Black	#000000	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
base03	#002633	0	38	51	1.26	1.63	3.42	13.41	-8.34	-12.42	0.0333	-0.0215	-0.0276
base02	#0b3340	11	51	64	2.24	2.8	5.29	19.23	-8.43	-12.25	0.0444	-0.0215	-0.0276
Dark pumpkin	#670a00	103	10	0	5.73	3.11	0.13	20.5	38.68	33.54	0.0555	0.0636	0.0636
Dark gold	#4d3700	77	55	0	4.17	4.17	0	24.24	2.93	50.72	0.0555	0.0	0.09
Dark lime	#005000	0	80	0	2.38	5.45	0.53	27.99	-43.41	40.73	0.0555	-0.0636	0.0636
Dark mint	#00573c	0	87	60	1.75	5.87	5.32	29.07	-62.27	4.6	0.0555	-0.09	0.0
Dark sky	#004867	0	72	103	2.99	4.69	13.56	25.84	-22.42	-27.74	0.0555	-0.0636	-0.0636
Dark bilberry	#2c2475	44	36	117	4.9	3.07	17.24	20.33	29.45	-45.55	0.0555	-0.0	-0.09
Dark lilac	#590061	89	0	97	5.98	2.46	11.41	17.74	53.43	-36.12	0.0555	0.0636	-0.0636
Dark raspberry	#6a0037	106	0	55	6.27	2.6	3.76	18.36	53.91	-5.9	0.0555	0.09	0.0
Dark grey	#3a3939	58	57	57	3.95	4.15	4.52	24.17	0.04	0.02	0.0555	0.0	0.0
base01	#56707b	86	112	123	13.22	15.05	21.01	45.7	-6.88	-9.19	0.0999	-0.0154	-0.0197
Pumpkin	#c43921	196	57	33	24.46	14.72	3.01	45.25	54.02	45.1	0.111	0.0849	0.0849
Gold	#997300	153	115	0	18.57	18.78	0	50.43	3.82	97.47	0.111	-0.0	0.126
Lime	#009c16	0	156	22	11.67	23.66	4.73	55.75	-60.79	53.41	0.111	-0.0849	0.0849
Mint	#00a87c	0	168	124	9.3	25.2	23.35	57.27	-85.44	6.61	0.111	-0.12	-0.0
Sky	#008fc3	0	143	195	14.04	20.72	54.78	52.64	-31.53	-40.73	0.111	-0.0849	-0.0849
Bilberry	#6356db	99	86	219	21.35	14.52	68.9	44.97	41.12	-66.59	0.111	-0.0	-0.12
Lilac	#aa12b7	170	18	183	25.27	12.37	45.75	41.8	72.41	-50.15	0.111	0.0827	-0.0827
Raspberry	#c70074	199	0	116	26.38	12.83	17.46	42.5	74.01	-7.79	0.111	0.117	0.0
base00	#627d89	98	125	137	16.86	19.1	26.3	50.81	-7.03	-9.36	0.111	-0.0154	-0.0197
Medium grey	#787878	120	120	120	17.74	18.65	20.3	50.28	0.06	0.03	0.111	-0.0	0.0
base0	#899499	137	148	153	26.61	28.79	34.18	60.59	-3.04	-3.87	0.1332	-0.0062	-0.0079
base1	#96a1a6	150	161	166	32.22	34.81	41.18	65.6	-3.1	-3.94	0.1443	-0.0062	-0.0079
Vivid pumpkin	#ff5034	255	80	52	74.19	42.41	7.55	71.15	84.72	68.11	0.1749	0.1167	0.1167
Vivid gold	#ffc700	255	199	0	61.43	62.18	0.91	83.01	5.53	130.1	0.1833	0.0	0.1575
Vivid lime	#00f02e	0	240	46	30.65	61.93	12.93	82.88	-83.32	72.18	0.1666	-0.1061	0.1061
Vivid mint	#00ffc0	0	255	192	24.38	66.08	61.19	85.04	-117.84	9.16	0.1666	-0.15	0.0
Vivid sky	#00dcff	0	220	255	37.2	53.97	100	78.45	-41.36	-57.75	0.1666	-0.1061	-0.1061
Vivid bilberry	#816bff	129	107	255	77.4	40.45	100	69.79	97.13	-142.85	0.1833	-0.0296	-0.2079
Vivid lilac	#e43af4	228	58	244	50.01	26.14	88.39	58.17	83.95	-58.69	0.1499	0.0902	-0.0902
Vivid raspberry	#ff21a0	255	33	160	52.13	26.94	35.87	58.91	86.36	-8.96	0.1499	0.1275	-0.0
Light grey	#bab9b9	186	185	185	46.42	48.8	53.1	75.33	0.09	0.04	0.1666	-0.0	0.0
base2	#f9f1e0	249	241	224	83.73	88.12	82.82	95.21	-0.06	9.18	0.211	0.0021	0.0149
base3	#fff9e8	255	249	232	90.54	95.29	89.74	98.15	-0.06	9.29	0.2176	0.0021	0.0149
Pastel pumpkin	#ffe0d2	255	224	210	89.35	84.42	72.86	93.63	17.24	14.09	0.211	0.0255	0.0255
Pastel gold	#fef3c7	254	243	199	83.03	89.16	66.81	95.65	-3.28	22.55	0.211	-0.0	0.036
Pastel lime	#d6ffd4	214	255	212	76.87	93.37	76.4	97.38	-22.84	17.75	0.211	-0.0255	0.0255
Pastel mint	#b9fff2	185	255	242	74.88	94.22	98.6	97.72	-28.37	2.57	0.211	-0.036	0.0
Pastel sky	#c1feff	193	254	255	78.46	90.84	100	96.34	-15.2	-14.22	0.211	-0.0255	-0.0255
Pastel bilberry	#cce1ff	204	225	255	74.05	75.42	100	89.59	4.96	-29.05	0.2005	-0.0067	-0.0474
Pastel lilac	#ffdbff	255	219	255	90.62	81.98	100	92.57	24.16	-17.83	0.211	0.0255	-0.0255
Pastel raspberry	#ffd6ef	255	214	239	92.32	81.62	92.59	92.41	27.91	-2.58	0.211	0.036	-0.0
White	#ffffff	255	255	255	95.09	99.98	100	99.99	0.11	0.05	0.2221	-0.0	0.0
